City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Qaanaaq,GL,38.26,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
1,Cape Town,ZA,57.27,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
2,Rikitea,PF,73.51,overcast clouds,-23.1203,-134.9692,People ThankYou
3,Castro,BR,55.58,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
5,Kapaa,US,80.92,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Salalah,OM,77.45,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
7,Los Llanos De Aridane,ES,73.15,scattered clouds,28.6585,-17.9182,Valle Aridane
8,Mahebourg,MU,71.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
9,Arraial Do Cabo,BR,68.61,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
10,Jamestown,US,69.06,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
11,Hermanus,ZA,48.79,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
12,Dengzhou,CN,68.34,clear sky,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
13,Ushuaia,AR,31.93,light snow,-54.8,-68.3,Albatross Hotel
14,Narsaq,GL,52.02,overcast clouds,60.9167,-46.05,Sleep In Narsaq
15,Bafoulabe,ML,86.32,light rain,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
16,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
17,Malanje,AO,80.6,broken clouds,-9.5402,16.341,Hotel Ginga
18,Comodoro Rivadavia,AR,43.48,overcast clouds,-45.8667,-67.5,Austral Hotel
19,Norman Wells,CA,41.45,overcast clouds,65.282,-126.8329,Heritage Hotel
20,Saint-Francois,FR,78.24,clear sky,46.4154,3.9054,Maison Vin d'Hus
21,Atuona,PF,75.81,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
22,Vaini,TO,75.87,overcast clouds,-21.2,-175.2,Keleti Beach Resort
23,Vadso,NO,43.68,scattered clouds,70.0744,29.7487,Scandic Vadsø
24,Puerto Ayacucho,VE,83.86,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
25,Magadan,RU,44.82,broken clouds,59.5667,150.8,Magadan hotel
26,Margate,GB,67.87,moderate rain,51.3813,1.3862,Premier Inn Margate hotel
27,Harper,LR,76.28,light rain,4.375,-7.7169,Screensaver
29,Bluff,NZ,41.81,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
30,West Plains,US,80.22,overcast clouds,36.7281,-91.8524,West Plains Motel
31,Petropavlovsk-Kamchatskiy,RU,49.77,overcast clouds,53.0452,158.6483,The Hotel Petropavlovsky
33,Constitucion,CL,59.94,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
36,Esperance,AU,55.96,overcast clouds,-33.8667,121.9,Hospitality Esperance
38,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
39,Butaritari,KI,81.81,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
40,Hilo,US,81.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
43,Mataura,NZ,41.49,overcast clouds,-46.1927,168.8643,Ellie's Villa
44,Zhigansk,RU,42.51,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
45,Kavaratti,IN,78.84,overcast clouds,10.5669,72.642,Green leaf
46,Punta Arenas,CL,37.11,few clouds,-53.15,-70.9167,Hotel Hain
47,Hobart,AU,44.06,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
48,Bethel,US,68.36,moderate rain,41.3712,-73.414,Courtyard by Marriott Danbury
49,Nikolskoye,RU,51.87,light rain,59.7035,30.7861,Tourist House - Sablino
50,Tuatapere,NZ,39.15,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
52,Annau,TM,88.93,clear sky,37.8876,58.516,"Гостиница ""Уссат инженер"""
54,Dongying,CN,67.1,clear sky,37.4564,118.4856,Wanda Realm
55,Hirara,JP,83.7,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
56,Paris,FR,81.37,overcast clouds,48.8534,2.3488,Britannique Hotel - Paris Centre
57,Ponta Do Sol,PT,78.12,scattered clouds,32.6667,-17.1,Hotel do Campo
59,Kungalv,SE,62.46,scattered clouds,57.871,11.9805,Hotell Fars Hatt
60,Cervo,ES,69.96,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
61,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
63,Kaitangata,NZ,41.47,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
65,Yellowknife,CA,48.56,overcast clouds,62.456,-114.3525,The Explorer Hotel
67,Sept-Iles,CA,60.06,broken clouds,50.2001,-66.3821,Comfort Inn
68,Waw,SS,75.16,light rain,7.7029,27.9953,Universal Gab Hotel
70,Busselton,AU,50.43,few clouds,-33.65,115.3333,Observatory Guest House
71,Sao Filipe,CV,79.83,moderate rain,14.8961,-24.4956,Hotel Xaguate
72,Barrow,US,35.62,mist,71.2906,-156.7887,King Eider Inn
73,Kavieng,PG,81.32,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
74,New Norfolk,AU,43.72,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
75,Puerto Ayora,EC,69.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
76,Fairbanks,US,48.81,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
77,Thompson,CA,62.76,thunderstorm with light rain,55.7435,-97.8558,Burntwood Hotel
78,Bulgan,MN,55.38,few clouds,48.8125,103.5347,Unitel Булган салбар
79,Sur,OM,84.81,clear sky,22.5667,59.5289,Sur Plaza Hotel
81,Chuy,UY,61.48,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
82,Meulaboh,ID,75.76,overcast clouds,4.1363,96.1285,Kost Pria
85,Khatanga,RU,38.75,overcast clouds,71.9667,102.5,"""Khatanga"""
86,Trincomalee,LK,79.63,overcast clouds,8.5711,81.2335,Welcombe Hotel
87,Maputo,MZ,67.77,overcast clouds,-25.9653,32.5892,Pestana Rovuma
89,Maun,BW,76.05,clear sky,-19.9833,23.4167,Enviro Villa
90,Klaksvik,FO,58.12,overcast clouds,62.2266,-6.589,Airbnb rooms
91,Martapura,ID,75.29,few clouds,-3.4167,114.85,Montana Hotel Syariah
93,Talnakh,RU,33.6,light snow,69.4865,88.3972,Talnakh Hotel
94,Pasni,PK,79.88,clear sky,25.2631,63.471,Kashmiri Hotal
95,Tongliao,CN,49.42,clear sky,43.6125,122.2653,Meirujia Hotel
96,Gravdal,NO,49.89,broken clouds,68.1214,13.5031,Skreda Rorbusuiter
97,Sinuknipan,PH,77.14,overcast clouds,13.8894,122.6375,Crocodile Beach Resort
98,Atambua,ID,70.77,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
99,Bonthe,SL,75.51,moderate rain,7.5264,-12.505,Bonthe Holiday Village
100,Smirnykh,RU,59.07,overcast clouds,49.75,142.8333,Tsentral'naya
101,Nishihara,JP,79.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
102,El Tigre,VE,86.13,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
103,Bluefield,US,76.57,broken clouds,37.2698,-81.2223,Economy Inn
104,Raudeberg,NO,63.27,clear sky,61.9875,5.1352,Nordre Silda.
105,Geraldton,AU,54.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
106,Biltine,TD,86.0,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
107,Luwuk,ID,75.72,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
109,Boa Vista,BR,87.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
110,Mafeteng,LS,51.96,clear sky,-29.823,27.2374,Catholic Training Center
112,Hobyo,SO,75.87,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
114,Abeche,TD,80.11,light rain,13.8292,20.8324,Assaleh Hamdan Haroune
115,Cabo San Lucas,MX,82.71,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
116,Bredasdorp,ZA,49.01,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
117,Nhulunbuy,AU,70.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
118,Kautokeino,NO,40.51,overcast clouds,69.0125,23.0412,Thon Hotel Kautokeino
119,Port Alfred,ZA,58.75,clear sky,-33.5906,26.891,The Halyards Hotel
120,Ciro Marina,IT,78.48,clear sky,39.3732,17.126,Hotel Miramare
121,Deputatskiy,RU,40.84,overcast clouds,69.3,139.9,Baza Otdykha
122,Kharan,PK,89.53,clear sky,28.5833,65.4167,Dil Aram Bangla
123,Rock Sound,BS,83.44,clear sky,24.9,-76.2,Pink Corral Bay Property
124,Tura,IN,74.34,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
125,Vieux-Habitants,GP,83.41,broken clouds,16.0589,-61.7659,Habitation GETZ
126,Nanortalik,GL,43.9,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
127,Asilah,MA,75.16,scattered clouds,35.465,-6.0348,Hotel Zelis
128,Hithadhoo,MV,81.52,overcast clouds,-0.6,73.0833,Scoop Guest House
130,Bone,DE,70.83,broken clouds,51.9669,12.1396,Sporthotel Wallwitz
131,Tasiilaq,GL,42.96,broken clouds,65.6145,-37.6368,The Red House
132,Grand Island,US,83.98,few clouds,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
133,Itabuna,BR,68.43,overcast clouds,-14.7856,-39.2803,Tarik Fontes Plaza Hotel Itabuna
134,Gat,IL,80.82,clear sky,31.61,34.7642,OlusHome
135,Camargo,MX,78.24,broken clouds,27.6667,-105.1667,Hotel Santa Fe
136,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
137,Sinnamary,GF,85.96,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
138,Puerto Escondido,MX,86.2,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
139,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
140,Grindavik,IS,55.87,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
141,Port Hedland,AU,62.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
142,Moerai,PF,73.27,broken clouds,-22.4333,-151.3333,Le Manotel
143,Mastic Beach,US,72.28,moderate rain,40.7668,-72.8521,Brushwood House by Smith Point Beach
145,Tuktoyaktuk,CA,37.4,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
146,Zhoucheng,CN,64.89,clear sky,35.9122,116.3117,Yingbin Restaurant
147,Yinchuan,CN,68.76,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
148,Kieta,PG,78.01,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
150,Honiara,SB,77.49,clear sky,-9.4333,159.95,Heritage Park Hotel
151,Tautira,PF,76.68,light rain,-17.7333,-149.15,Pension Oaoa
152,Torbay,CA,59.29,overcast clouds,47.6666,-52.7314,Gallows Cove
153,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
154,Chapais,CA,74.23,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
155,Cidreira,BR,63.93,overcast clouds,-30.1811,-50.2056,Hotel Castelo
156,Sibolga,ID,76.15,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
157,Kodiak,US,50.88,broken clouds,57.79,-152.4072,Best Western Kodiak Inn
158,Sterling,US,84.54,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
160,Broome,US,72.86,mist,42.2506,-75.833,Chenango Valley State Park
161,Murud,IN,80.73,moderate rain,18.3258,72.965,On Point Plaza
163,Springdale,US,86.74,scattered clouds,36.1867,-94.1288,Springdale Inn
164,Oak Harbor,US,69.82,clear sky,48.2932,-122.6432,The Coachman Inn
166,Ilulissat,GL,41.02,broken clouds,69.2167,-51.1,Hotel Arctic
168,Lebu,CL,57.16,clear sky,-37.6167,-73.65,Hostal Las Lilas
169,Upernavik,GL,40.23,overcast clouds,72.7868,-56.1549,Café de Upernavik
170,Solnechnyy,RU,51.87,moderate rain,50.7214,136.6319,Hotel complex Pastoral
171,Velyka Mykhaylivka,UA,61.81,broken clouds,47.0794,29.8514,"Готель ""Уют"""
172,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Le four à pain
173,Carnarvon,AU,62.73,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
174,Parral,MX,67.08,overcast clouds,26.9333,-105.6667,HOTEL LOS ARCOS PARRAL
176,George Town,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
177,Sol-Iletsk,RU,50.11,overcast clouds,51.1631,54.9918,Raduzhnaya
178,Dingle,PH,74.73,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
179,Katsuura,JP,80.87,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
180,Leningradskiy,RU,34.56,overcast clouds,69.3833,178.4167,Gostinitsa
181,Rio Gallegos,AR,41.47,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
182,Kahului,US,81.84,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
184,Parlakimidi,IN,79.41,scattered clouds,18.7667,84.0833,APEPDCL
185,Lufilufi,WS,80.17,clear sky,-13.8745,-171.5986,Leuaina Beach Resort and Spa
186,San Jeronimo,PE,65.77,clear sky,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
187,Darfield,GB,68.59,overcast clouds,53.5339,-1.376,Premier Inn Barnsley (Dearne Valley) hotel
188,Hay River,CA,55.38,scattered clouds,60.8156,-115.7999,Ptarmigan Inn
190,Bintulu,MY,74.91,overcast clouds,3.1667,113.0333,900 Boutique INN
192,Mount Gambier,AU,42.67,broken clouds,-37.8333,140.7667,The Commodore
193,Saldanha,ZA,55.02,clear sky,-33.0117,17.9442,Blue Bay Lodge
194,Szydlowiec,PL,60.53,overcast clouds,51.2282,20.8611,Hotel Oleńka
195,Loviisa,FI,54.28,light rain,60.4566,26.2251,Loviisa Camping
196,Razole,IN,79.83,scattered clouds,16.4833,81.8333,Sterling Palavelli Godavari
197,Fortuna,US,72.52,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
198,Prince Rupert,CA,53.69,light rain,54.3161,-130.3201,Crest Hotel
199,Esna,EG,90.0,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
200,Mayumba,GA,75.42,broken clouds,-3.432,10.6554,LIKWALE LODGE
201,Vila,PT,59.7,light rain,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
202,Boueni,YT,75.18,few clouds,-12.9025,45.0761,The feet in water
203,East London,ZA,61.43,clear sky,-33.0153,27.9116,Tu Casa
205,Dongli,CN,78.84,overcast clouds,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
207,Marrakesh,MA,89.67,few clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
208,Aklavik,CA,40.37,scattered clouds,68.2191,-135.0107,Aklavik Inn
210,Kruisfontein,ZA,52.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
211,Necochea,AR,68.79,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
212,Bambous Virieux,MU,71.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
213,Banes,CU,88.77,few clouds,20.9625,-75.7186,Hostal Iván y yailet
214,Lyubar,UA,47.61,broken clouds,49.9204,27.7592,"Садиба"" Над Случчю"""
216,Tual,ID,80.35,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
217,Faanui,PF,78.24,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
218,Khani,GE,58.57,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
219,Kenai,US,53.1,scattered clouds,60.5544,-151.2583,Aspen Extended Stay Suites
221,Cayenne,GF,87.84,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
223,Sistranda,NO,53.56,scattered clouds,63.7256,8.834,Hotell Frøya
224,Severo-Kurilsk,RU,53.67,overcast clouds,50.6789,156.125,Kak Doma
226,Ancud,CL,51.22,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
228,Vardo,NO,42.78,scattered clouds,70.3705,31.1107,Vardø Hotel AS
229,Touros,BR,82.47,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
230,Namibe,AO,64.31,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
231,Eseka,CM,73.02,broken clouds,3.65,10.7667,Complexe Hotelier Ndjiki Mpeck Eseka II
232,Flinders,AU,52.18,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
233,Neringa,LT,57.58,clear sky,55.3719,21.0647,Preilos Krantas
235,Sola,VU,79.29,few clouds,-13.8833,167.55,Leumerus Bungalows
236,Shakawe,BW,75.65,clear sky,-18.3667,21.85,Ditlhapi Guest House
238,Alakurtti,RU,38.98,broken clouds,66.9672,30.3491,Agroturystyka Gientosław
239,Beruwala,LK,78.51,overcast clouds,6.4788,79.9828,The Palms Hotel
240,Cam Ranh,VN,76.96,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
241,Kattivakkam,IN,86.09,overcast clouds,13.2167,80.3167,Euronova Freezer
242,Souillac,MU,69.64,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
243,Avanigadda,IN,79.21,scattered clouds,16.0215,80.9181,AP Camping
244,Baie-Comeau,CA,63.73,scattered clouds,49.2168,-68.1489,Travelodge by Wyndham Baie-Comeau
246,Iqaluit,CA,41.7,overcast clouds,63.7506,-68.5145,Frobisher Inn
247,Tacuarembo,UY,70.25,overcast clouds,-31.7333,-55.9833,Complejo San Fructuoso
248,Veraval,IN,79.9,clear sky,20.9,70.3667,Lords Inn Somnath
249,Charlestown,AU,51.69,scattered clouds,-32.95,151.6667,Panorama Motor Inn Hotel
250,Guerrero Negro,MX,82.15,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
251,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
252,Port Elizabeth,ZA,56.32,clear sky,-33.918,25.5701,39 On Nile Guest House
253,Finschhafen,PG,78.15,broken clouds,-6.6024,147.8681,Cossam Guest House
254,Seoul,KR,71.04,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
255,San Quintin,MX,80.56,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
257,Christiana,ZA,59.54,clear sky,-27.914,25.1611,At-Neli Guesthouse
258,Kozhva,RU,42.98,light rain,65.1073,57.0459,Gostinicha IP Kayuda Olga Aleksandrovna
259,Montanha,BR,79.43,scattered clouds,-18.1269,-40.3633,Hotel Boldrini
260,Angoche,MZ,74.98,clear sky,-16.2325,39.9086,Guest House HESADA
262,Tromso,NO,46.42,broken clouds,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
263,Kununurra,AU,69.78,clear sky,-15.7667,128.7333,Hotel Kununurra
264,Bonavista,CA,58.24,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
265,Visaginas,LT,46.35,few clouds,55.6,26.4167,B&B Idile
266,Chernyshevskiy,RU,37.33,overcast clouds,63.0128,112.4714,Chernyseyskiy
267,Bathsheba,BB,84.56,overcast clouds,13.2167,-59.5167,Atlantis Hotel
268,Farafangana,MG,68.94,few clouds,-22.8167,47.8333,Miarina
269,Nome,US,46.17,light rain,64.5011,-165.4064,Dredge 7 Inn
270,West Freehold,US,71.47,moderate rain,40.2421,-74.3013,Radisson Hotel Freehold
271,Bogorodskoye,RU,46.63,overcast clouds,56.55,37.8833,Sosnoviy Bor
272,Cherskiy,RU,36.99,scattered clouds,68.75,161.3,Gostinitsa
273,Batemans Bay,AU,54.1,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
275,Saint-Leu,RE,68.32,scattered clouds,-21.15,55.2833,La Caz Oceane
276,Clyde River,CA,39.58,overcast clouds,70.4692,-68.5914,Qamaq Hotel
278,Mar Del Plata,AR,71.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
279,Omboue,GA,76.14,scattered clouds,-1.5746,9.2618,Hotel Olako
280,San Patricio,US,85.53,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
281,Aksu,CN,76.57,clear sky,41.1231,80.2644,Pudong Holiday Hotel
282,Murgab,TM,82.74,clear sky,37.4966,61.9714,Wepa Nurlyýew
283,Balkanabat,TM,83.84,clear sky,39.5108,54.3671,Nebitchi Hotel
284,Port Blair,IN,79.59,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
285,Esil,KZ,61.86,overcast clouds,51.9556,66.4042,Egorkino Hotel
286,Puerto Leguizamo,CO,73.94,overcast clouds,-0.1934,-74.7819,la casona de juancho
287,Calabozo,VE,86.23,overcast clouds,8.9242,-67.4293,Hotel Giardini
288,Kaeo,NZ,42.33,overcast clouds,-35.1,173.7833,Bushido Lodge
291,Dwarka,IN,81.36,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
292,Hofn,IS,54.63,few clouds,64.2539,-15.2082,Hótel Höfn
293,Balsta,SE,63.07,few clouds,59.5671,17.5278,Aronsborgs Conference Hotel
294,San Pedro,PH,78.35,overcast clouds,14.35,121.0167,Palines Apartment and Guesthouse
295,Novyy Svit,UA,54.3,broken clouds,47.8059,38.0211,Энергетик
296,Nemuro,JP,67.59,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
297,Sawtell,AU,50.18,mist,-30.3833,153.1,The Bungalow Sawtell
298,Wanning,CN,80.11,broken clouds,18.8003,110.3967,Paradise Hotel
299,Shingu,JP,79.32,broken clouds,33.7333,135.9833,Shingu UI Hotel
301,Winslow,US,87.98,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
302,Longyearbyen,SJ,40.84,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
304,Vaitape,PF,78.24,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
305,Basco,PH,84.02,moderate rain,20.4487,121.9702,Nathaniel's Lodge
306,Flin Flon,CA,66.81,clear sky,54.7682,-101.865,Victoria Inn Flin Flon
307,Mount Isa,AU,53.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
308,Codrington,AU,43.72,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
309,Haines Junction,CA,48.56,few clouds,60.7522,-137.5108,Parkside Inn
310,Vigrestad,NO,67.68,overcast clouds,58.5667,5.7,Brusand Camping
311,Kikwit,CD,82.2,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
312,Acari,PE,76.46,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
313,Nago,JP,79.23,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
314,Muriwai Beach,NZ,41.2,broken clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
315,Kamaishi,JP,73.31,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
316,Pangnirtung,CA,41.0,broken clouds,66.1451,-65.7125,Kilabuk Lodge
317,Camacari,BR,78.51,clear sky,-12.6975,-38.3242,Sítio Blasi
318,Pevek,RU,33.89,overcast clouds,69.7008,170.3133,Severnoye Zoloto
319,Velez-Malaga,ES,86.07,clear sky,36.7726,-4.1005,Hotel Torremar
321,Lorengau,PG,80.24,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
322,Porto Santo,PT,77.38,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
323,Vila Franca Do Campo,PT,77.41,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
324,Bermejillo,MX,68.04,overcast clouds,25.8833,-103.6167,Hotel Mirador
326,Isangel,VU,71.73,overcast clouds,-19.55,169.2667,Tanna Lodge
327,College,US,48.79,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
328,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
329,Miri,MY,76.21,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
330,Lagoa,PT,75.83,light rain,39.05,-27.9833,Casa Das Faias
331,Hasaki,JP,77.4,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
333,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
334,Axim,GH,77.27,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
335,Xichang,CN,62.53,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
336,Yarada,IN,80.92,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
337,Padang,ID,77.36,overcast clouds,-0.9492,100.3543,Mercure Padang
338,Charcas,MX,67.95,overcast clouds,23.1333,-101.1167,Hotel El Malacate
